timestamp,id,type,severity,message,component,operation
"2025-08-17T10:54:39.594Z","err_1755428079594_ep8b478pm","SERVICE_UNAVAILABLE","high","API request failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.598Z","err_1755428079598_95mmtkne8","NETWORK_ERROR","medium","Network connection failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.600Z","err_1755428079600_r0zzfyy5a","RATE_LIMIT_ERROR","medium","Rate limit exceeded","SummaryService","generateSummary"
"2025-08-17T10:54:39.602Z","err_1755428079602_nrd252ecz","AUTHENTICATION_ERROR","critical","Authentication failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.604Z","err_1755428079604_g81zjuxkd","VALIDATION_ERROR","low","Invalid input data","SummaryService","generateSummary"
"2025-08-17T10:54:39.607Z","err_1755428079607_24hhrn3h7","TIMEOUT_ERROR","medium","Request timeout occurred","SummaryService","generateSummary"
"2025-08-17T10:54:39.611Z","err_1755428079611_1dp8jhhoj","DATABASE_ERROR","critical","Database connection failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.614Z","err_1755428079614_h9m2q5my9","CONTENT_ERROR","low","Content is empty or invalid","SummaryService","generateSummary"
"2025-08-17T10:54:39.619Z","err_1755428079619_pnw2tldi1","SERVICE_UNAVAILABLE","high","API request failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.620Z","err_1755428079620_id3y4ypyk","NETWORK_ERROR","medium","Network connection failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.620Z","err_1755428079620_rln30s0sy","SERVICE_UNAVAILABLE","high","API request failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.621Z","err_1755428079621_df20ilnkf","RATE_LIMIT_ERROR","medium","Rate limit exceeded","SummaryService","generateSummary"
"2025-08-17T10:54:39.621Z","err_1755428079621_zbkcyi6w4","VALIDATION_ERROR","low","Invalid input data","SummaryService","generateSummary"
"2025-08-17T10:54:39.622Z","err_1755428079622_l2svefzev","SERVICE_UNAVAILABLE","high","API request failed","SummaryService","generateSummary"
"2025-08-17T10:54:39.625Z","err_1755428079625_rkgc8bxt3","SERVICE_UNAVAILABLE","high","API request failed","GroqAPI","chatCompletion"
"2025-08-17T10:54:39.627Z","err_1755428079627_6pg78e1zp","SERVICE_UNAVAILABLE","high","Integration test error","SummaryService","generateSummary"